filename	intensity_at_520nm	intensity_at_550nm
120mW_975_normal.txt	1828.6470434782555	5257.768798561145
120mW_975_normal_2.txt	1813.517862318835	5122.077899280566
160mW_975_normal.txt	1556.441644927534	4584.631712230212
200mW_975_normal.txt	1688.2735579710134	4986.22527338129
240mW_975_normal.txt	1854.3080652173862	5381.532266187042
50mW_975_normal.txt	1027.7723623188376	2888.3246690647443
80mW_975_normal.txt	1305.3021666666664	3667.4704172661845
cluster_onlyUCP_120mW.txt	1269.585456521734	4297.297546762582
cluster_onlyUCP_160mW.txt	3944.562442028974	16078.745618705016
cluster_onlyUCP_200mW.txt	5109.480637681146	21333.726359712204
cluster_onlyUCP_240mW.txt	5393.533224637665	22610.507107913643
cluster_onlyUCP_50mW.txt	2257.725304347817	8722.798503597114
cluster_onlyUCP_80mW.txt	2731.898260869558	10721.257805755376
f2_Ucp_droplet_120mW.txt	1500.1956304347793	4739.993661870495
f2_Ucp_droplet_160mW.txt	1258.0679275362254	3723.327266187047
f2_Ucp_droplet_50mW.txt	876.5707173913019	2701.324366906472
f2_Ucp_droplet_80mW.txt	1193.5573043478244	3550.643035971216
f3_120mW_Both.txt	2529.1438623188374	8112.763223021565
f3_160mW_Both.txt	2916.609384057963	8388.617244604307
f3_200mW_Both.txt	1908.971369565212	6366.319697841715
f3_240mW_Both.txt	2091.2735724637637	7875.811906474811
f3_50mW_Both.txt	1477.954043478257	4185.3569280575475
f3_80mW_Both.txt	1947.877949275355	5687.9147410071855
f4_120mW_both.txt	2544.867528985501	9766.363841726605
f4_160mW_both.txt	2655.4608188405714	9929.754956834515
f4_200mW_both.txt	3129.576891304342	11446.148575539555
f4_240mW_both.txt	3062.9021014492655	11026.862532374087
f4_50mW_both.txt	1245.571101449272	4135.238719424454
f4_80mW_both.txt	1568.8691739130425	5274.53335971222
f5_120mW_droplet_partially_stuck.txt	1214.667572463763	3382.170330935247
f5_160mW_droplet_partially_stuck.txt	1092.163601449273	2302.155381294958
f5_200mW_droplet_partially_stuck.txt	1690.1868768115885	5920.598489208622
f5_240mW_droplet_partially_stuck.txt	1243.6208695652142	3335.6118201438812
f5_50mW_droplet_partially_stuck.txt	826.0093985507227	1920.0298489208599
f5_80mW_droplet_partially_stuck.txt	914.0320869565176	2379.3771366906444
f7_120mW_stuck_UCP.txt	2774.246608695646	10328.432633093513
f7_160mW_stuck_UCP.txt	3372.3461231883957	12570.270251798545
f7_200mW_stuck_UCP.txt	3555.464521739119	14368.311776978391
f7_240mW_stuck_UCP.txt	4723.982376811579	21214.39365467623
f7_50mW_stuck_UCP.txt	1930.7819057970974	6871.844007194234
f7_80mW_stuck_UCP.txt	2201.3251304347777	8076.772431654667
f8_120mW.txt	560.9127681159409	614.8465827338124
without_droplet_120mW.txt	945.1258695652141	2337.8930503597066
without_droplet_160mW.txt	1048.8654999999956	2495.43874100719
without_droplet_200mW.txt	1133.79844927536	2960.337863309348
without_droplet_240mW.txt	1190.5805289855023	3006.316165467622
without_droplet_50mW.txt	711.3950652173891	1642.4757122302112
without_droplet_80mW.txt	765.4312463768078	1702.1877697841683
